Title,Link,Description
‘계약금 10%’ 미끼 854명에 175억원 뜯어낸 태양광사기단,https://n.news.naver.com/mnews/article/277/0005193531?sid=102,전남경찰청 반부패·경제범죄수사1대는 18일 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
"전남경찰, 농민 속여 175억 챙긴 태양광발전 사기 일당 검거",http://www.kukinews.com/newsView/kuk202212180033,"전남경찰청은 18일, 유령법인을 4차례나 바꿔가며 전국 농민 854명으로부터 태양광발전시설 설치계약금 175여억 원을 챙긴 악성사기 조직 총책 A씨 등 31명을 검거, 지난 16일 13명을 구속 송치했다고 밝혔다. 총책 A씨... "
경찰 범법행위 잇따라…기강해이 또다시 &apos;도마&apos;,http://www.jndn.com/article.php?aid=1671354081351045005,18일 광주·전남경찰청에 따르면 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 서부서 모 지구대 A경사를 입건했다. A경사는 지난 13일 오후 나주시 한 골프장 탈의실 사물함에서 현금·수표 700만 원이... 
비번 훔쳐본 뒤…현직 경찰이 골프장 &apos;탈의실&apos;에서 저지른 한심한 범죄 수준,https://www.wikitree.co.kr/articles/816358,골프장 탈의실에서 지갑을 훔친 현직 경찰이 붙잡혔다.전남 나주경찰서는 지난 16일 절도 혐의로 40대 경사 A 씨를 불구속 입건됐다고 밝혔다.A 경사는 지난 13일 전남 나주시 남평읍의 한 골프장 탈의실 옷장에서 701만... 
전남서 검거된 ‘태양광 사기단’… 854명에게 175억원 뜯어내,https://n.news.naver.com/mnews/article/366/0000863104?sid=102,18일 전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
"전남경찰, 고소득 미끼로 수백억 가로챈 태양광 사기단 검거",https://n.news.naver.com/mnews/article/079/0003718436?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. A씨 등은 설치... 
&quot;농민들 속여 175억 가로채&quot;…태양광 발전시설 사기단 검거,https://n.news.naver.com/mnews/article/015/0004788767?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 해당 사기단은... 
“태양광 설치하면 연소득 3000만원” 농민에게 175억 뜯은 사기단,https://n.news.naver.com/mnews/article/023/0003735293?sid=102,전남경찰청 반부패·경제범죄수사 1대는 특정경제범죄가중처벌법상 사기 혐의로 40대 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 본지... 
"경찰, 농민 대상 175억 가로챈 ‘태양광 사기단’ 검거",https://n.news.naver.com/mnews/article/022/0003765539?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 전남경찰청... 
&apos;농민 상대&apos; 태양광 사기단 854명 검거…&quot;피해액 175억 원&quot;,https://n.news.naver.com/mnews/article/055/0001021364?sid=102,전남경찰청 반부패·경제범죄수사대 1팀은 특정경제범죄가중처벌법상 사기 혐의로 A 씨 등 13명을 해남지청으로 불구속 송치했다고 밝혔습니다. 경찰은 해당 범죄에 가담한 것으로 의심되는 18명에 대해서도 같은 혐의로... 
"&quot;고수익 보장, 태양광 시설 설치&quot; 175억 가로챈 사기단 검거",https://n.news.naver.com/mnews/article/003/0011597290?sid=102,전남경찰청 반부패경제범죄수사1대는 태양광 발전시설 설치 사업을 허위로 꾸며 계약금만 가로챈 혐의(특정경제범 가중처벌 등에 관한 법률상 사기)로 총책 A(44)씨 등 31명을 검거했다고 18일 밝혔다. 이 중 A씨 등 13명은... 
전국 농민 854명 피해액만 175억원… 전남경찰 ‘태양광 사기단’ 검거,https://n.news.naver.com/mnews/article/081/0003325794?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 31명을 검거해 그중 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰에 따르면 A씨 등은 설치 능력이 없는 업체를 차려놓고... 
‘눈 폭탄·맹추위’ 광주·전남 하얗게 얼어붙었다,http://www.jndn.com/article.php?aid=1671352271351034001,"휴일인 17~18일 이틀 새 광주·전남지역에 강추위 속 많은 눈이 내리면서 도로는 물론 하늘길과 뱃길이 모두... 광주시는 이날 오전 5개 구청, 소방본부, 경찰청 등 관계기관들과 ▲장비 동원 ▲이면도로제설... "
&quot;눈길 미끌어져&quot;폭설 광주·전남서 잇단 사고…하늘길·뱃길 일부 통제(종합),https://n.news.naver.com/mnews/article/421/0006525723?sid=102,"현재까지 119에 도움을 요청한 사례는 광주 30여건, 전남 20여건이다. 또 장성에서는 눈을 치우고 귀가하던 중 길을 잃었다는 신고가 접수돼 소방당국이 출동, 구조 요청자를 경찰에 인계하기도 했다. 많은 눈으로 인해... "
농민들에게 175억 뜯어낸 태양광 사기단 잡혔다,https://n.news.naver.com/mnews/article/016/0002079658?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 18일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. 경찰에 따르면... 
폭설 내린 제주·호남 항공편 결항하고 눈 피해 속출,https://n.news.naver.com/mnews/article/422/0000575141?sid=102,"굵은 눈발이 그칠 줄 모르자, 경찰이 차량 통행을 통제합니다. &lt;현장음&gt; &quot;서귀포 갈 거죠? 서귀포는 못 가요.... 폭설로 광주 전남지역에선 빙판길 미끄러짐 사고를 비롯해 크고 작은 교통사고가 잇따른 가운데, 눈은 19일... "
"전남경찰, &apos;태양광 사기단&apos; 검거…&quot;854명에게 175억 뜯어내&quot;",https://n.news.naver.com/mnews/article/055/0001021360?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄 가중처벌법상 사기 혐의로 A 씨 등 13명을 구속해 검찰에 송치했다고 밝혔습니다. 경찰에 따르면 A 씨 등은 태양광 발전시설 설치 능력이 없는 업체를 차려놓고... 
절도에 성범죄까지… 광주·전남경찰 왜이러나,https://www.jnilbo.com/view/media/view?code=2022121813583568989,"광주·전남 일선 경찰관들의 절도·강제추행 등 범죄행위가 드러나면서 공직 기강 해이가 도마 위에 올랐다.18일 광주·전남경찰에 따르면, 나주경찰은 골프장 탈의실 사물함에서 금품을 훔친 혐의(절도)로 광주 서부서 모... "
사설&gt; 공직사회 갑질 감성 지수 높여야,https://www.jnilbo.com/view/media/view?code=2022121815164105799,광주 전남지역 학교와 경찰서 등 공직 현장이 상급자의 갑질로 인해 멍들고 있는 것으로 나타났다. 특히 교단의 갑질은 조직 문화 뿐만 아니라 학생들에게 악영향을 끼치는 만큼 교직 사회의 갑질 공감 지수를 한층 끌어... 
